drawing_category,location,age,participant_id,distance_cat_site,recognized,target_similarity
cat,Beijing,9,THU9M2,0.05078125,True,0.299560546875
cat,Beijing,5,THU5M7,0.07373046875,False,0.256103515625
car,Beijing,4,THU4F8,0.0498046875,True,0.28125
bird,Beijing,8,THU8F12,0.06005859375,True,0.305419921875
cup,Beijing,5,THU6M1,0.03076171875,False,0.281982421875
car,Beijing,7,THU7F42,0.064453125,False,0.268310546875
airplane,Beijing,9,THU9M46,0.08154296875,True,0.290283203125
tree,Beijing,9,THU9M13,0.0380859375,True,0.300537109375
cup,Beijing,4,THU4F6,0.04541015625,False,0.26708984375
car,Beijing,8,THU9F38,0.04150390625,True,0.32568359375
tree,Beijing,7,THU7M17,0.0361328125,False,0.281982421875
car,Beijing,4,THU4M7,0.056640625,True,0.2861328125
bird,Beijing,9,THU9M39,0.06640625,True,0.3251953125
car,Beijing,8,THU8M21,0.08056640625,True,0.32861328125
house,Beijing,8,THU8M14,0.04931640625,True,0.331787109375
bird,Beijing,7,THU7F39,0.05029296875,True,0.314697265625
bike,Beijing,9,THU9M5,0.033203125,True,0.328369140625
hat,Beijing,4,THU4F9,0.0302734375,True,0.319091796875
chair,Beijing,4,THU4M04,0.041015625,True,0.3115234375
bird,Beijing,8,THU8M1,0.10107421875,False,0.257568359375
chair,Beijing,7,THU7F15,0.060546875,False,0.269287109375
rabbit,Beijing,6,THU6F43,0.05322265625,True,0.317138671875
chair,Beijing,4,THU4M5,0.06103515625,False,0.269287109375
bike,Beijing,8,THU9F2,0.0478515625,False,0.27490234375
car,Beijing,9,THU9M37,0.05224609375,True,0.30810546875
bike,Beijing,4,THU5M5,0.078125,False,0.258056640625
bike,Beijing,9,THU9M46,0.0498046875,True,0.3291015625
bird,Beijing,9,THU9M37,0.08642578125,False,0.26123046875
watch,Beijing,4,THU4M7,0.0830078125,False,0.273193359375
cup,Beijing,5,THU5F2,0.033203125,True,0.32275390625
bike,Beijing,6,THU6M21,0.04638671875,False,0.271484375
house,Beijing,6,THU6M3,0.03662109375,True,0.310791015625
tree,Beijing,8,THU8F36,0.05908203125,False,0.248779296875
hat,Beijing,6,THU6F43,0.0224609375,True,0.322509765625
car,Beijing,9,THU9M22,0.04638671875,True,0.314697265625
watch,Beijing,5,THU5F2,0.03515625,True,0.303955078125
cup,Beijing,8,THU8M21,0.07177734375,False,0.282470703125
cat,Beijing,6,THU6M2,0.0517578125,False,0.26708984375
cup,Beijing,6,THU6F32,0.0322265625,True,0.303955078125
